Nomor Referensi,Tgl Transaksi,Tgl Efektif,Debit,Kredit,Saldo,Keterangan,sumber dana
000CBAB212049669,44400,44400,,-1070000,-19904750,5307952030988100 522 000000339362 VA : 8166110042021028 - SANDIAGA DZIKRI SETIAWAN CDT TRF BENFC BERSAMA | Koreksi dari SPP ke BP,SPP TKIT AE
000CBAB212049669,44400,44400,,1070000,-18834750,5307952030988100 522 000000339362 VA : 8166110042021028 - SANDIAGA DZIKRI SETIAWAN CDT TRF BENFC BERSAMA | Koreksi ke SPP dan BP,BP TKIT AE
000CBBC21207A6D2,44403,44403,,-7950000,-26784750,"5327278000012275 523 549141 VA : 8166010132122015 - AISYAH SYAKIRA RAMADHANI CDT TRF PRIMA | Koreksi, Rp7.950.000 pindah ke BP dari SPP",SPP SDIT
000CBBC21207A6D2,44403,44403,,7950000,-18834750,"5327278000012275 523 549141 VA : 8166010132122015 - AISYAH SYAKIRA RAMADHANI CDT TRF PRIMA | Koreksi, Rp7.950.000 pindah ke BP dari SPP",BP SDIT
Pemindahan dana PPDB SDIT Anak Shalih Juli 2021,44408,44408,,-35950000,-54784750,Pemisahan dana PPDB SDIT Anak Shalih Bogor TP 2021/2022 Tanggal 31 Juli 2021,BP SDIT
Pemindahan dana PPDB SDIT Anak Shalih Juli 2021,44408,44408,,100000,-54684750,Pemisahan dana PPDB SDIT Anak Shalih Bogor TP 2021/2022 Tanggal 31 Juli 2021 | Seragam,SRG SDIT
Pemindahan dana PPDB SDIT Anak Shalih Juli 2021,44408,44408,,4000000,-50684750,Pemisahan dana PPDB SDIT Anak Shalih Bogor TP 2021/2022 Tanggal 31 Juli 2021 | Biaya Kegiatan Satu Tahun,BKS SDIT
Pemindahan dana PPDB SDIT Anak Shalih Juli 2021,44408,44408,,13290000,-37394750,Pemisahan dana PPDB SDIT Anak Shalih Bogor TP 2021/2022 Tanggal 31 Juli 2021 | Sarana dan Perlengkapan,SRN SDIT
Pemindahan dana PPDB SDIT Anak Shalih Juli 2021,44408,44408,,18560000,-18834750,Pemisahan dana PPDB SDIT Anak Shalih Bogor TP 2021/2022 Tanggal 31 Juli 2021 | Uang masuk gedung,INR SDIT
000DCTM212181198,44414,44414,,-183800,-19018550,FPK-06-TKAS-001-05-2021 Anggaran bulan Juni TKIT Anak Shalih 2021 (Sisa anggaran kantor),SPP TKIT ANS
000DCTM212181198,44414,44414,,100000,-18918550,FPK-06-TKAS-001-05-2021 Anggaran bulan Juni TKIT Anak Shalih 2021 (Sisa anggaran perbaikan dan pemeliharaan),SRN TKIT ANS
000DCTM212181198,44414,44414,,75000,-18843550,FPK-06-TKAS-001-05-2021 Anggaran bulan Juni TKIT Anak Shalih 2021 (Sisa anggaran PPDB),PPDB TKIT ANS
000DCTM212181198,44414,44414,,259800,-18583750,FPK-06-TKAS-001-05-2021 Anggaran bulan Juni TKIT Anak Shalih 2021 (Sisa anggaran Operasional Sekolah),BKS TKIT ANS
121DCTC212300003,44426,44426,,-880000,-19463750,FPK-010-TKAS-001-08-2021 Anggaran TKIT Anak Shalih bulan Agustus 2021 (Biaya Kegiatan Siswa),BKS TKIT ANS
121DCTC212300003,44426,44426,,-2200000,-21663750,FPK-010-TKAS-001-08-2021 Anggaran TKIT Anak Shalih bulan Agustus 2021 (Biaya Kantor),SPP TKIT ANS
121DCTC212300003,44426,44426,,-2070000,-23733750,FPK-010-TKAS-001-08-2021 Anggaran TKIT Anak Shalih bulan Agustus 2021 (Biaya Perbaikan dan Pemeliharaan),SRN TKIT ANS
121DCTC212300004,44426,44426,,-2530000,-26263750,FPK-009-TKAS-001-08-2021 Anggaran TKIT Anak Shalih bulan Juli 2021 (Biay Kegiatan Siswa),BKS TKIT ANS
121DCTC212300004,44426,44426,,-100000,-26363750,FPK-009-TKAS-001-08-2021 Anggaran TKIT Anak Shalih bulan Juli 2021 (PPDB Spanduk),PPDB TKIT ANS
121DCTC212300004,44426,44426,,-2370000,-28733750,FPK-009-TKAS-001-08-2021 Anggaran TKIT Anak Shalih bulan Juli 2021 (Biaya Kantor),SPP TKIT ANS
121DCTC212300004,44426,44426,,-3770000,-32503750,FPK-009-TKAS-001-08-2021 Anggaran TKIT Anak Shalih bulan Juli 2021 (Biaya Perbaikan dan Pemeliharaan),SRN TKIT ANS
121CQWL212320502,44428,44428,,-29638800,-62142550,Cheque Withdrawal | Anggaran SDIT Anak Shalih bulan Juli 2021 (Biaya Kegiatan Sekolah),BKS SDIT
121CQWL212320502,44428,44428,,-18595000,-80737550,Cheque Withdrawal | Anggaran SDIT Anak Shalih bulan Juli 2021 (Operasional Sekolah),SPP SDIT
121CQWL212320502,44428,44428,,-59094050,-139831600,Cheque Withdrawal | Anggaran SDIT Anak Shalih bulan Agustus 2021 (Biaya Kegiatan Sekolah),BKS SDIT
121CQWL212320502,44428,44428,,-13145000,-152976600,Cheque Withdrawal | Anggaran SDIT Anak Shalih bulan Agustus 2021 (Operasional Sekolah),SPP SDIT
121CQWL212320502,44428,44428,,-19883542,-172860142,Cheque Withdrawal | Anggaran TKIT Aisyah bulan Juli 2021 (Operasional Sekolah),BKS TKIT AE
121CQWL212320502,44428,44428,,-4538000,-177398142,Cheque Withdrawal | Anggaran TKIT Aisyah bulan Juli 2021 (Biaya kegiatan satu tahun),SPP TKIT AE
121CQWL212320502,44428,44428,,-3205542,-180603684,Cheque Withdrawal | Anggaran TKIT Aisyah bulan Agustus 2021 (Operasional Sekolah),BKS TKIT AE
121CQWL212320502,44428,44428,,-3543000,-184146684,Cheque Withdrawal | Anggaran TKIT Aisyah bulan Agustus 2021 (Biaya kegiatan satu tahun),SPP TKIT AE
121CQWL212320502,44428,44428,,-39394100,-223540784,Cheque Withdrawal | Operasional bulan Juli 2021 dan pengeluaran via dana antara,SPP SDIT
121CQWL212320502,44428,44428,,-40151800,-263692584,Cheque Withdrawal | Operasional bulan Agustus 2021 dan pengeluaran via dana antara,SPP SDIT
121CQWL212320502,44428,44428,,-1100000,-264792584,Cheque Withdrawal | Dana insentif psikologi calon peagawai dan kepala sekolah TKIT Anak Shalih Bogor,SPP SDIT
121CQWL212320502,44428,44428,,-594000,-265386584,Cheque Withdrawal | Kesalahan bank muamalat dalam mecatat mutasi keluar,BTDKS SDIT
121DCTC212370002,44433,44433,,-1782100,-267168684,FPK-353-YPI-U03-08-2021 | Tagihan minimart No 151/UUAS/NP/VIII/2021 (Operasional Kantor),SPP SDIT
121DCTC212370002,44433,44433,,-240800,-267409484,FPK-353-YPI-U03-08-2021 | Tagihan minimart No 151/UUAS/NP/VIII/2021 (Pembangunan),SPP SDIT
Pemindahan dana PPDB SDIT Anak Shalih Agustus 2021,44439,44439,,-56001500,-323410984,Pemisahan dana PPDB SDIT Anak Shalih Bogor TP 2021/2022 Tanggal 31 Agustus 2021,BP SDIT
Pemindahan dana PPDB SDIT Anak Shalih Agustus 2021,44439,44439,,1820000,-321590984,Pemisahan dana PPDB SDIT Anak Shalih Bogor TP 2021/2022 Tanggal 31 Agustus 2021 | Seragam,SRG SDIT
Pemindahan dana PPDB SDIT Anak Shalih Agustus 2021,44439,44439,,2000000,-319590984,Pemisahan dana PPDB SDIT Anak Shalih Bogor TP 2021/2022 Tanggal 31 Agustus 2021 | Biaya Kegiatan Satu Tahun,BKS SDIT
Pemindahan dana PPDB SDIT Anak Shalih Agustus 2021,44439,44439,,25595000,-293995984,Pemisahan dana PPDB SDIT Anak Shalih Bogor TP 2021/2022 Tanggal 31 Agustus 2021 | Sarana dan Perlengkapan,SRN SDIT
Pemindahan dana PPDB SDIT Anak Shalih Agustus 2021,44439,44439,,26586500,-267409484,Pemisahan dana PPDB SDIT Anak Shalih Bogor TP 2021/2022 Tanggal 31 Agustus 2021 | Uang masuk gedung,INR SDIT
121OW2V212430001,44439,44439,,-201700206,-469109690,FPK-374-YPI-S01-08-2021 | Mukafaah bulan Agustus 2021 (SDIT Anak Shalih Bogor),SPP SDIT
121OW2V212430001,44439,44439,,-15215693,-484325383,FPK-374-YPI-S01-08-2021 | Mukafaah bulan Agustus 2021 (TKIT Aisyah Educare),SPP TKIT AE
121OW2V212430001,44439,44439,,-39521998,-523847381,FPK-374-YPI-S01-08-2021 | Mukafaah bulan Agustus 2021 (Staf Yayasan Imam Ahmad bin Hanbal),SPP SDIT
121OW2V212430001,44439,44439,,-13547300,-537394681,FPK-374-YPI-S01-08-2021 | Mukafaah bulan Agustus 2021 (Lingkungan Anak Shalih),SPP SDIT
121OW2V212430001,44439,44439,,-3627800,-541022481,FPK-374-YPI-S01-08-2021 | Mukafaah bulan Agustus 2021 (Daycar Anak Shalih),SPP SDIT
121OW2V212430001,44439,44439,,-7107600,-548130081,FPK-374-YPI-S01-08-2021 | Mukafaah bulan Agustus 2021 (TKIT Anak Shalih),SPP TKIT ANS
Penampungan sementara mukafaah Agustus 2021,44439,44439,,-9609000,-557739081,Penampungan mukafaah Agustus ke Alokasi Pinjaman | PNS,PNS YYS
Penampungan sementara mukafaah Agustus 2021,44439,44439,,9609000,-548130081,Penampungan mukafaah Agustus ke Alokasi Pinjaman | Alokasi Pinjaman,AP YYS
Penampungan sementara mukafaah Agustus 2021,44439,44439,,-12329024,-560459105,Penampungan mukafaah Agustus ke Penampungan PAP | PNS,PNS YYS
Penampungan sementara mukafaah Agustus 2021,44439,44439,,12329024,-548130081,Penampungan mukafaah Agustus ke Penampungan PAP | Penampunga Pendidikan Anak Pegawai,PNS PAP YYS
Penampungan sementara mukafaah Juli 2021,44408,44408,,-8250000,-556380081,Penampungan mukafaah Juli ke Alokasi Pinjaman | PNS,PNS YYS
Penampungan sementara mukafaah Juli 2021,44408,44408,,8250000,-548130081,Penampungan mukafaah Juli ke Alokasi Pinjaman | Alokasi Pinjaman,AP YYS
Penampungan sementara mukafaah Juli 2021,44408,44408,,-12898585,-561028666,Penampungan mukafaah Juli ke Penampungan PAP | PNS,PNS YYS
Penampungan sementara mukafaah Juli 2021,44408,44408,,12898585,-548130081,Penampungan mukafaah Juli ke Penampungan PAP | Penampunga Pendidikan Anak Pegawai,PNS PAP YYS
121CQWL212440503,44440,44440,,-26970000,-575100081,MCD 215106 | Operasinal SDIT September 2021,BKS SDIT
121CQWL212440503,44440,44440,,-5088542,-580188623,MCD 215106 | Operasinal TKIT Aisyah Educare September 2021,BKS TKIT AE
121CQWL212440503,44440,44440,,-26932700,-607121323,MCD 215106 | Biaya operasional bulan September 2021 dan Pengeluaran (via dana antara) bulan Agustus 2021 (periode 21 Agustus 2021 s/d 31 Agustus 2021),SPP SDIT
121CHDP212461023,44442,44442,,32000,-607089323,SISA SALDO BULAN JUNI 2021 TKIT AISYAH SETOR TUNAI | bks,BKS TKIT AE
121CHDP212461023,44442,44442,,217500,-606871823,SISA SALDO BULAN JUNI 2021 TKIT AISYAH SETOR TUNAI | SPP,SPP TKIT AE
121CHDP212461024,44442,44442,,552100,-606319723,SISA SALDO BLN MEI 2021 TKIT AISYAH SETOR TUNAI | BKS,BKS TKIT AE
121CHDP212461024,44442,44442,,485500,-605834223,SISA SALDO BLN MEI 2021 TKIT AISYAH SETOR TUNAI | SPP,SPP TKIT AE
"121DCTC212460509, 121DCTC212461005, 121DCTC212460003, & 121DCTC212460510",44442,44442,,-193944114,-799778337,FPK-385-YPI-U03-09-2021 | Pemindahan ke rekening 3632 dari komponen Infaq,INF SDIT
"121DCTC212460509, 121DCTC212461005, 121DCTC212460003, & 121DCTC212460510",44442,44442,,-815112400,-1614890737,FPK-385-YPI-U03-09-2021 | Pemindahan ke rekening 3632 dari komponen Infrastruktur,INR SDIT
"121DCTC212460509, 121DCTC212461005, 121DCTC212460003, & 121DCTC212460510",44442,44442,,-528418125,-2143308862,FPK-385-YPI-U03-09-2021 | Pemindahan ke rekening 3632 dari komponen Sarana dan Prasarana,SRN SDIT
121DCTC212490002,44445,44445,,-208937150,-2352246012,FPK-386-YPI-U03-09-2021 | Pemidahan ke rekening 3632 dari komponen Infaq TKIT Aisyah,INF TKIT AE
121DCTC212490002,44445,44445,,-60287100,-2412533112,FPK-386-YPI-U03-09-2021 | Pemidahan ke rekening 3632 dari komponen Infra Struktur TKIT Aisyah,INR TKIT AE
121DCTC212490002,44445,44445,,-74145067,-2486678179,FPK-386-YPI-U03-09-2021 | Pemidahan ke rekening 3632 dari komponen Sarana TKIT Aisyah,SRN TKIT AE
121CHDP212500004,44446,44446,,5664763,-2481013416,SISA SALDO BULAN JUNI 2021 SETOR TUNAI | Sisa SPP,SPP SDIT
121CHDP212500004,44446,44446,,8953623,-2472059793,SISA SALDO BULAN JUNI 2021 SETOR TUNAI | Sisa BKS,BKS SDIT
121DCTC212520002,44448,44448,,-342800,-2472402593,FPK-389-YPI-U03-09-2021 | Sumber SPP,SPP SDIT
121DCTC212520002,44448,44448,,-420000,-2472822593,FPK-389-YPI-U03-09-2021 | Service AC sumber dari sarpras,SRN SDIT
122DCTC212560504,44452,44452,,9297332,-2463525261,FPK-397-YPI-U03-09-2021 Pemindahan Dana Potongan Mukafaah untuk Pembayaran Pegawai atas Pendidikan Anak | SPP SDIT Anshal,SPP SDIT
122DCTC212560504,44452,44452,,4297000,-2459228261,FPK-397-YPI-U03-09-2021 Pemindahan Dana Potongan Mukafaah untuk Pembayaran Pegawai atas Pendidikan Anak | SPP TKIT Aisyah Educare,SPP TKIT AE
122DCTC212560504,44452,44452,,1655000,-2457573261,FPK-397-YPI-U03-09-2021 Pemindahan Dana Potongan Mukafaah untuk Pembayaran Pegawai atas Pendidikan Anak | SPP TKIT Anak Shalih,SPP TKIT ANS
122DCTC212560504,44452,44452,,2823395,-2454749866,FPK-397-YPI-U03-09-2021 Pemindahan Dana Potongan Mukafaah untuk Pembayaran Pegawai atas Pendidikan Anak | BKS SDIT Anshal,BKS SDIT
122DCTC212560504,44452,44452,,2503658,-2452246208,FPK-397-YPI-U03-09-2021 Pemindahan Dana Potongan Mukafaah untuk Pembayaran Pegawai atas Pendidikan Anak | BKS TKIT Aisyah Educare,BKS TKIT AE
122DCTC212560504,44452,44452,,1621721,-2450624487,FPK-397-YPI-U03-09-2021 Pemindahan Dana Potongan Mukafaah untuk Pembayaran Pegawai atas Pendidikan Anak | BKS TKIT Anshal,BKS TKIT ANS
122DCTC212560504,44452,44452,,1091667,-2449532820,FPK-397-YPI-U03-09-2021 Pemindahan Dana Potongan Mukafaah untuk Pembayaran Pegawai atas Pendidikan Anak | Seragam SDIT Anshal,SRG SDIT
122DCTC212560504,44452,44452,,354168,-2449178652,FPK-397-YPI-U03-09-2021 Pemindahan Dana Potongan Mukafaah untuk Pembayaran Pegawai atas Pendidikan Anak | Seragam TKIT Aisyah Educare,SRG TKIT AE
122DCTC212560504,44452,44452,,754167,-2448424485,FPK-397-YPI-U03-09-2021 Pemindahan Dana Potongan Mukafaah untuk Pembayaran Pegawai atas Pendidikan Anak | Seragam TKIT Anshal,SRG TKIT ANS
122DCTC212560504,44452,44452,,416667,-2448007818,FPK-397-YPI-U03-09-2021 Pemindahan Dana Potongan Mukafaah untuk Pembayaran Pegawai atas Pendidikan Anak | Sarpras SDIT Anshal,SRN SDIT
122DCTC212560504,44452,44452,,195167,-2447812651,FPK-397-YPI-U03-09-2021 Pemindahan Dana Potongan Mukafaah untuk Pembayaran Pegawai atas Pendidikan Anak | Sarpras TKIT Aisyah Educare,SRN TKIT AE
122DCTC212560504,44452,44452,,217667,-2447594984,FPK-397-YPI-U03-09-2021 Pemindahan Dana Potongan Mukafaah untuk Pembayaran Pegawai atas Pendidikan Anak | Sarpras TKIT Anshal,SRN TKIT ANS
121DCTC212571005,44453,44453,,-630000,-2448224984,FPK-012-TKAS-001-09-2021 | Anggaran TKIT Anak Shalih bulan September 2021 Sumber BKS (kegiatan siswa),BKS TKIT ANS
121DCTC212571005,44453,44453,,-2920000,-2451144984,FPK-012-TKAS-001-09-2021 | Anggaran TKIT Anak Shalih bulan September 2021 Sumber SPP (kegiatan Operasional Kantor),SPP TKIT ANS
121DCTC212571005,44453,44453,,-120000,-2451264984,FPK-012-TKAS-001-09-2021 | Anggaran TKIT Anak Shalih bulan September 2021 Sumber Sarana dan Prasarana (Biaya perbaikan dan pemeliharaan),SRN TKIT ANS
"121DCTC212460509, 121DCTC212461005, 121DCTC212460003, & 121DCTC212460510",44445,44445,,193944114,-2257320870,FPK-385-YPI-U03-09-2021 | Pemindahan dari rekening 38105 komponen Infaq SDIT Anak Shalih,INF SDIT YYS
"121DCTC212460509, 121DCTC212461005, 121DCTC212460003, & 121DCTC212460510",44445,44445,,815112400,-1442208470,FPK-385-YPI-U03-09-2021 | Pemindahan dari rekening 38105 komponen Infrastruktur SDIT Anak Shalih,ING SDIT YYS
"121DCTC212460509, 121DCTC212461005, 121DCTC212460003, & 121DCTC212460510",44445,44445,,528418125,-913790345,FPK-385-YPI-U03-09-2021 | Pemindahan dari rekening 38105 komponen Sarana SDIT Anak Shalih,SRN SDIT YYS
121DCTC212490002,44445,44445,,208937150,-704853195,FPK-386-YPI-U03-09-2021 | Pemindahan dari rekening 38105 dari komponen Infaq TKIT Aisyah Educare,INF TKIT YYS
121DCTC212490002,44445,44445,,60287100,-644566095,FPK-386-YPI-U03-09-2021 | Pemindahan dari rekening 38105 dari komponen Infrastruktur TKIT Aisyah Educare,ING TKIT YYS
121DCTC212490002,44445,44445,,74145067,-570421028,FPK-386-YPI-U03-09-2021 | Pemindahan dari rekening 38105 dari komponen Sarana TKIT Aisyah Educare,SRN TKIT YYS
000DCTM212672931,44463,44463,,347500,-570073528,Sisa anggaran Juli 2021 TKIT Anak Shalih Bogot INTERNAL TRANSFER MOBILE BANKING | Operasional Sekolah Siswa,BKS TKIT ANS
000DCTM212672931,44463,44463,,100000,-569973528,Sisa anggaran Juli 2021 TKIT Anak Shalih Bogot INTERNAL TRANSFER MOBILE BANKING | PPDB,PPDB TKIT ANS
000DCTM212672931,44463,44463,,264900,-569708628,Sisa anggaran Juli 2021 TKIT Anak Shalih Bogot INTERNAL TRANSFER MOBILE BANKING | Operasional Kantor,SPP TKIT ANS
000DCTM212672931,44463,44463,,125000,-569583628,Sisa anggaran Juli 2021 TKIT Anak Shalih Bogot INTERNAL TRANSFER MOBILE BANKING | Perbaikan & Pemeliharaan,SRN TKIT ANS
000DCTM21270A796,44466,44466,,9600,-569574028,Sisa anggaran Agustus 2021 TKIT Anak Shalih INTERNAL TRANSFER MOBILE BANKING | Beban Operasional Sekolah,BKS TKIT ANS
000DCTM21270A796,44466,44466,,389300,-569184728,Sisa anggaran Agustus 2021 TKIT Anak Shalih INTERNAL TRANSFER MOBILE BANKING | Biaya Kantor,SPP TKIT ANS
000DCTM21270A796,44466,44466,,-89800,-569274528,Sisa anggaran Agustus 2021 TKIT Anak Shalih INTERNAL TRANSFER MOBILE BANKING | Perbaikan dan Pemeliharaan,SRN TKIT ANS
121CHDP212700017,44466,44466,,2613800,-566660728,SISA SALDO BULAN JULI 2021 SETOR TUNAI | Sisa Biaya Kegiatan Satu Tahun Akademik,BKS SDIT
121CHDP212700017,44466,44466,,8588500,-558072228,SISA SALDO BULAN JULI 2021 SETOR TUNAI | Sisa Biaya Kegiatan Satu Tahun Kesiswaan,BKS SDIT
121CHDP212700017,44466,44466,,5922450,-552149778,SISA SALDO BULAN JULI 2021 SETOR TUNAI | Sisa SPP,SPP SDIT
121CHDP212700017,44466,44466,,-26130,-552175908,SISA SALDO BULAN JULI 2021 SETOR TUNAI | Sarana dan Prasarana SDIT,SRN SDIT
Pemindahan dana PPDB SDIT Anak Shalih September 2021,44469,44469,,-20593500,-572769408,Pemisahan dana PPDB SDIT Anak Shalih Bogor TP 2021/2022 Tanggal 31 September 2021,BP SDIT
Pemindahan dana PPDB SDIT Anak Shalih September 2021,44469,44469,,1710000,-571059408,Pemisahan dana PPDB SDIT Anak Shalih Bogor TP 2021/2022 Tanggal 31 September 2021 | Seragam,SRG SDIT
Pemindahan dana PPDB SDIT Anak Shalih September 2021,44469,44469,,260000,-570799408,Pemisahan dana PPDB SDIT Anak Shalih Bogor TP 2021/2022 Tanggal 31 September 2021 | Biaya Kegiatan Satu Tahun,BKS SDIT
Pemindahan dana PPDB SDIT Anak Shalih September 2021,44469,44469,,4723500,-566075908,Pemisahan dana PPDB SDIT Anak Shalih Bogor TP 2021/2022 Tanggal 31 September 2021 | Sarana dan Perlengkapan,SRN SDIT
Pemindahan dana PPDB SDIT Anak Shalih September 2021,44469,44469,,13900000,-552175908,Pemisahan dana PPDB SDIT Anak Shalih Bogor TP 2021/2022 Tanggal 31 September 2021 | Uang masuk gedung,INR SDIT
Pemindahan Dana PPDB TKIT Aisyah,44472,44472,,-29920000,-582095908,Pemisahan dana PPDB TKIT Aisyah Educare Anak Shalih TP 2021/2022 Tanggal 03 Oktober 2021,BP TKIT AE
Pemindahan Dana PPDB TKIT Aisyah,44472,44472,,5550000,-576545908,Pemisahan dana PPDB TKIT Aisyah Educare Anak Shalih TP 2021/2022 Tanggal 03 Oktober 2021 | Uang masuk seragam,SRG TKIT AE
Pemindahan Dana PPDB TKIT Aisyah,44472,44472,,12650000,-563895908,Pemisahan dana PPDB TKIT Aisyah Educare Anak Shalih TP 2021/2022 Tanggal 03 Oktober 2021 | BKS,BP TKIT AE
Pemindahan Dana PPDB TKIT Aisyah,44472,44472,,7130000,-556765908,Pemisahan dana PPDB TKIT Aisyah Educare Anak Shalih TP 2021/2022 Tanggal 03 Oktober 2021 | Uang sarana dan prasarana perlengkapan,SRN TKIT AE
Pemindahan Dana PPDB TKIT Aisyah,44472,44472,,4590000,-552175908,Pemisahan dana PPDB TKIT Aisyah Educare Anak Shalih TP 2021/2022 Tanggal 03 Oktober 2021 | Uang masuk gedung,INR TKIT AE
121CQWL212870501,44483,44483,,-13145000,-565320908,Cheque Withdrawal | MCD215108 | MUHAMMAD FARRAS MARUF CHEQUE WITHDRAWAL | Anggaran SDIT Operasional Kantor,SPP SDIT
121CQWL212870501,44483,44483,,-18204000,-583524908,Cheque Withdrawal | MCD215108 | MUHAMMAD FARRAS MARUF CHEQUE WITHDRAWAL | Anggaran SDIT Kegiatan Siswa,BKS SDIT
121CQWL212870501,44483,44483,,-3543000,-587067908,Cheque Withdrawal | MCD215108 | MUHAMMAD FARRAS MARUF CHEQUE WITHDRAWAL | Anggaran TKIT AE Operasional Kantor,SPP TKIT AE
121CQWL212870501,44483,44483,,-5446542,-592514450,Cheque Withdrawal | MCD215108 | MUHAMMAD FARRAS MARUF CHEQUE WITHDRAWAL | Anggaran TKIT AE Kegiatan Siswa,BKS TKIT AE
121CQWL212870501,44483,44483,,-60726100,-653240550,Cheque Withdrawal | MCD215108 | MUHAMMAD FARRAS MARUF CHEQUE WITHDRAWAL | Biaya operasional bualn oktober 2021 (pengurus yayasan),SPP SDIT
Pemindahan dana PPDB SDIT Anak Shalih Oktober 2021,44500,44500,,-11263500,-664504050,Pemisahan dana PPDB SDIT Anak Shalih Bogor TP 2021/2022 Tanggal 31 Oktober 2021,BP SDIT
Pemindahan dana PPDB SDIT Anak Shalih Oktober 2021,44500,44500,,880000,-663624050,Pemisahan dana PPDB SDIT Anak Shalih Bogor TP 2021/2022 Tanggal 31 Oktober 2021 | Seragam,SRG SDIT
Pemindahan dana PPDB SDIT Anak Shalih Oktober 2021,44500,44500,,1590000,-662034050,Pemisahan dana PPDB SDIT Anak Shalih Bogor TP 2021/2022 Tanggal 31 Oktober 2021 | Biaya Kegiatan Satu Tahun,BKS SDIT
Pemindahan dana PPDB SDIT Anak Shalih Oktober 2021,44500,44500,,813500,-661220550,Pemisahan dana PPDB SDIT Anak Shalih Bogor TP 2021/2022 Tanggal 31 Oktober 2021 | Sarana dan Perlengkapan,SRN SDIT
Pemindahan dana PPDB SDIT Anak Shalih Oktober 2021,44500,44500,,7980000,-653240550,Pemisahan dana PPDB SDIT Anak Shalih Bogor TP 2021/2022 Tanggal 31 Oktober 2021 | Uang masuk gedung,INR SDIT
121PB7R212730001,44469,44469,,-204564327,-857804877,Mukafaah SDIT Anak Shalih September 2021,SPP SDIT
121PB7R212730001,44469,44469,,-41072400,-898877277,Mukafaah Yayasan September 2021,SPP SDIT
121PB7R212730001,44469,44469,,-16012980,-914890257,Mukafaah TKIT Aisyah September 2021,SPP TKIT AE
121PB7R212730001,44469,44469,,-3628800,-918519057,Mukafaah Daycare September 2021,SPP SDIT
121PB7R212730001,44469,44469,,-13443300,-931962357,Mukafaah Lingkungan September 2021,SPP SDIT
121PB7R212730001,44469,44469,,-6156267,-938118624,Mukafaah TKIT Anak Shalih September 2021,SPP TKIT ANS
121PB7R212730001,44469,44469,,3550000,-934568624,Adjustmen (-/-) sumber dana sekolah untuk pegawai SDIT Anak Shalih,SPP SDIT
